Date,Total
2022-03-04,15746488.0
2022-03-05,15607594.0
2022-03-06,15474791.0
2022-03-07,16154490.0
2022-03-08,16401097.0
2022-03-09,16656532.0
2022-03-10,16903669.0
2022-03-11,17140924.0
2022-03-12,17009673.0
2022-03-13,16647774.0
2022-03-14,17630027.0
2022-03-15,17908873.0
2022-03-16,18205207.0
2022-03-17,18488186.0
2022-03-18,18738624.0
2022-03-19,18498349.0
2022-03-20,18271695.0
2022-03-21,19239700.0
2022-03-22,19533901.0
2022-03-23,19828406.0
2022-03-24,20099812.0
2022-03-25,20335247.0
2022-03-26,19677601.0
2022-03-27,19299082.0
2022-03-28,20765842.0
2022-03-29,21028696.0
2022-03-30,21275571.0
2022-03-31,21492256.0
2022-04-01,21668239.0
2022-04-02,20492425.0
2022-04-03,20000241.0
2022-04-04,21974851.0
2022-04-05,22174529.0
2022-04-06,22354108.0
2022-04-07,22512219.0
2022-04-08,22650165.0
2022-04-09,21405076.0
2022-04-10,20533036.0
2022-04-11,22916309.0
2022-04-12,23089701.0
2022-04-13,23241066.0
2022-04-14,23385227.0
2022-04-15,21011665.0
2022-04-16,21627422.0
2022-04-17,20336467.0
2022-04-18,21109489.0
2022-04-19,23743348.0
2022-04-20,23913458.0
2022-04-21,24060740.0
2022-04-22,24175845.0
2022-04-23,21960623.0
2022-04-24,21172194.0
2022-04-25,24382471.0
2022-04-26,24514746.0
2022-04-27,24624492.0
2022-04-28,24715413.0
2022-04-29,24791719.0
2022-04-30,22352260.0
2022-05-01,21041617.0
2022-05-02,24938847.0
2022-05-03,25041044.0
2022-05-04,25127806.0
2022-05-05,25204973.0
2022-05-06,25270712.0
2022-05-07,22327218.0
2022-05-08,21692055.0
2022-05-09,25403807.0
2022-05-10,25494380.0
2022-05-11,25567532.0
2022-05-12,25564261.0
2022-05-13,25684708.0
2022-05-14,22336102.0
2022-05-15,21993941.0
2022-05-16,25719781.0
2022-05-17,25849606.0
2022-05-18,25900534.0
2022-05-19,25879003.0
2022-05-20,25915181.0
2022-05-21,22039581.0
2022-05-22,20844418.0
2022-05-23,26051789.0
2022-05-24,26095644.0
2022-05-25,26129516.0
2022-05-26,21007085.0
2022-05-27,25713710.0
2022-05-28,21764123.0
2022-05-29,21718043.0
2022-05-30,26243927.0
2022-05-31,26293694.0
2022-06-01,26270561.0
2022-06-02,26311203.0
2022-06-03,26334136.0
2022-06-04,22039990.0
2022-06-05,21557841.0
2022-06-06,21914462.0
2022-06-07,26534214.0
2022-06-08,26596245.0
2022-06-09,26679960.0
2022-06-10,26743485.0
2022-06-11,22970709.0
2022-06-12,22731788.0
2022-06-13,26805247.0
2022-06-14,26961350.0
2022-06-15,27040194.0
2022-06-16,23818907.0
2022-06-17,27101430.0
2022-06-18,22858832.0
2022-06-19,23012379.0
2022-06-20,27316080.0
2022-06-21,27434117.0
2022-06-22,27468955.0
2022-06-23,27569817.0
2022-06-24,27665903.0
2022-06-25,23288611.0
2022-06-26,23676793.0
2022-06-27,27847040.0
2022-06-28,28032235.0
2022-06-29,28151657.0
2022-06-30,28187562.0
2022-07-01,28241398.0
2022-07-02,24413393.0
2022-07-03,24286814.0
2022-07-04,28526725.0
2022-07-05,28658005.0
2022-07-06,28779464.0
2022-07-07,28885984.0
2022-07-08,28980325.0
2022-07-09,24533406.0
2022-07-10,24888258.0
2022-07-11,29167494.0
2022-07-12,29306666.0
2022-07-13,29436961.0
2022-07-14,29549658.0
2022-07-15,29655589.0
2022-07-16,24861934.0
2022-07-17,24979779.0
2022-07-18,29843167.0
2022-07-19,29939593.0
2022-07-20,30049643.0
2022-07-21,30195183.0
2022-07-22,30282351.0
2022-07-23,25463814.0
2022-07-24,25008216.0
2022-07-25,30409578.0
2022-07-26,30556039.0
2022-07-27,30646606.0
2022-07-28,30717996.0
2022-07-29,30778695.0
2022-07-30,25953669.0
2022-07-31,25296400.0
2022-08-01,30895749.0
2022-08-02,30974536.0
2022-08-03,31039496.0
2022-08-04,31093142.0
2022-08-05,31140905.0
2022-08-06,25576161.0
2022-08-07,25062239.0
2022-08-08,31235609.0
2022-08-09,31299230.0
2022-08-10,31282991.0
2022-08-11,31322122.0
2022-08-12,31397586.0
2022-08-13,25962741.0
2022-08-14,26055210.0
2022-08-15,30833772.0
2022-08-16,31580086.0
2022-08-17,31628478.0
2022-08-18,31669355.0
2022-08-19,31704015.0
2022-08-20,25560996.0
2022-08-21,25211807.0
2022-08-22,31776521.0
2022-08-23,31825405.0
2022-08-24,31866671.0
2022-08-25,31900547.0
2022-08-26,31931611.0
2022-08-27,26255546.0
2022-08-28,25576644.0
2022-08-29,31975785.0
2022-08-30,32041030.0
2022-08-31,32051204.0
2022-09-01,32105412.0
2022-09-02,32133922.0
2022-09-03,25760799.0
2022-09-04,25554912.0
2022-09-05,32196750.0
2022-09-06,32239666.0
2022-09-07,32276736.0
2022-09-08,32309140.0
2022-09-09,32339209.0
2022-09-10,26109123.0
2022-09-11,26678912.0
2022-09-12,32407657.0
2022-09-13,32456391.0
2022-09-14,32497202.0
2022-09-15,32534927.0
2022-09-16,32569367.0
2022-09-17,26433247.0
2022-09-18,26628184.0
2022-09-19,32618596.0
2022-09-20,32595744.0
2022-09-21,32756616.0
2022-09-22,32805028.0
2022-09-23,32599068.0
2022-09-24,28352564.0
2022-09-25,28515533.0
2022-09-26,32973383.0
2022-09-27,33068534.0
2022-09-28,33156164.0
2022-09-29,33231406.0
2022-09-30,33262553.0
2022-10-01,29314349.0
2022-10-02,29298674.0
2022-10-03,29148310.0
2022-10-04,33508538.0
2022-10-05,33649654.0
2022-10-06,33784422.0
2022-10-07,33896143.0
2022-10-08,30409575.0
2022-10-09,29958047.0
2022-10-10,34096269.0
2022-10-11,34230952.0
2022-10-12,34348793.0
2022-10-13,34450301.0
2022-10-14,34485203.0
2022-10-15,31039751.0
2022-10-16,30979829.0
2022-10-17,34713722.0
2022-10-18,34834161.0
2022-10-19,34934645.0
2022-10-20,35014905.0
2022-10-21,35083635.0
2022-10-22,30578194.0
2022-10-23,30594961.0
2022-10-24,35210493.0
2022-10-25,35295482.0
2022-10-26,35360643.0
2022-10-27,35413299.0
2022-10-28,35315082.0
2022-10-29,29711919.0
2022-10-30,30192274.0
2022-10-31,33610194.0
2022-11-01,32378181.0
2022-11-02,35621559.0
2022-11-03,35667163.0
2022-11-04,35703125.0
2022-11-05,29783808.0
2022-11-06,29299879.0
2022-11-07,35770912.0
2022-11-08,35813101.0
2022-11-09,35847801.0
2022-11-10,35877490.0
2022-11-11,35848755.0
2022-11-12,30479412.0
2022-11-13,30123234.0
2022-11-14,35957692.0
2022-11-15,35993340.0
2022-11-16,35977424.0
2022-11-17,36048060.0
2022-11-18,35988357.0
2022-11-19,29910595.0
2022-11-20,29970594.0
2022-11-21,36079011.0
2022-11-22,36133476.0
2022-11-23,36190765.0
2022-11-24,36217495.0
2022-11-25,36194155.0
2022-11-26,30579334.0
2022-11-27,30647667.0
2022-11-28,36297707.0
2022-11-29,36337689.0
2022-11-30,36370841.0
2022-12-01,36373005.0
2022-12-02,36427066.0
2022-12-03,30419659.0
2022-12-04,31086471.0
2022-12-05,36483068.0
2022-12-06,36526671.0
2022-12-07,36562477.0
2022-12-08,36594466.0
2022-12-09,36451799.0
2022-12-10,31279774.0
2022-12-11,31331972.0
2022-12-12,36594864.0
2022-12-13,36695168.0
2022-12-14,36636163.0
2022-12-15,36813156.0
2022-12-16,36845033.0
2022-12-17,31942734.0
2022-12-18,31580554.0
2022-12-19,36910794.0
2022-12-20,36958625.0
2022-12-21,37001226.0
2022-12-22,37039619.0
2022-12-23,37016722.0
2022-12-24,31114822.0
2022-12-25,31606399.0
2022-12-26,32228565.0
2022-12-27,36767341.0
2022-12-28,36644028.0
2022-12-29,36787784.0
2022-12-30,36627486.0
2022-12-31,30970894.0
2023-01-01,31059189.0
2023-01-02,37093051.0
2023-01-03,37116684.0
2023-01-04,37234699.0
2023-01-05,37253595.0
2023-01-06,34909929.0
2023-01-07,29542957.0
2023-01-08,29462305.0
